name,type,source,latitude,longitude
Harsud,ruins,OpenStreetMap,22.0980173,76.7348785
Amarkantak,attraction,OpenStreetMap,22.670465,81.7588417
Chitrakoot,attraction,OpenStreetMap,25.1743883,80.8691307
Sasbahu,attraction,OpenStreetMap,26.2236003,78.1704234
Thirtankars,attraction,OpenStreetMap,26.2237281,78.1658908
Ticket counter Man-Singh-Palace,information,OpenStreetMap,26.2306414,78.1687397
Man-Singh-Palace,attraction,OpenStreetMap,26.2303315,78.1692698
Teli-ka-Mandir,attraction,OpenStreetMap,26.2202948,78.1656799
Bhojeshwar,attraction,OpenStreetMap,23.1002771,77.5799617
Rock Shelters of Bhimbetka,attraction,OpenStreetMap,22.9384007,77.6133286
Highway Retreat Bhimbetka,hotel,OpenStreetMap,22.957626,77.6249021
Lakshmi-Narayan Temple,attraction,OpenStreetMap,25.3527943,78.6308031
Ram-Raja,attraction,OpenStreetMap,25.3508385,78.6397977
Jahangiri Mahal,attraction,OpenStreetMap,25.3506405,78.6442334
Sharma Guest House,guest_house,OpenStreetMap,25.3500782,78.6408429
Chatturbhuja Mandir,attraction,OpenStreetMap,25.3501439,78.639864
Chhatris,attraction,OpenStreetMap,25.3437497,78.6377245
Raj Mahal,attraction,OpenStreetMap,25.3501873,78.6432642
Orchah Nature Reserve,information,OpenStreetMap,25.3418588,78.6410103
Chaterbuja,attraction,OpenStreetMap,24.8251743,79.9309969
Yogi Lodge,hotel,OpenStreetMap,24.8531906,79.9238693
Matangeshwar Temple,attraction,OpenStreetMap,24.8520155,79.9216142
Krishna Hotel,hotel,OpenStreetMap,23.4865191,77.7387209
Khamb Baba - Heliodorus coloum,attraction,OpenStreetMap,23.5495138,77.800139
Udaigiri caves - Northern Group,attraction,OpenStreetMap,23.5399835,77.7719839
Udaigiri caves - Southern Group,attraction,OpenStreetMap,23.5366403,77.7724127
Ticket Counter,information,OpenStreetMap,23.4846833,77.73835
Udaigiri caves,viewpoint,OpenStreetMap,23.5368313,77.7719879
Tropic of Cancer,memorial,OpenStreetMap,23.4484074,77.5945001
Tribal Museum Chhindwara,museum,OpenStreetMap,22.0711775,78.9399907
Ekta Park,picnic_site,OpenStreetMap,22.0478542,78.9387108
Madai Forest Guesthouse,guest_house,OpenStreetMap,22.5689947,78.1407201
Bandavgarh Fort,fort,OpenStreetMap,23.6834076,81.0395562
Infinity Resort,hotel,OpenStreetMap,23.7182317,81.0469926
Pench National Park Turia Gate,attraction,OpenStreetMap,21.7390632,79.3368346
Tuli Tiger Corridor,hotel,OpenStreetMap,21.7299821,79.3583811
Tuli Tiger Resort,hotel,OpenStreetMap,22.3057333,80.4893399
Pandav Falls,attraction,OpenStreetMap,24.730074,80.0676377
Rock Paintings,attraction,OpenStreetMap,24.5913106,80.0229268
Central Museum - Indore,museum,OpenStreetMap,22.7052316,75.8793076
Purva Falls,attraction,OpenStreetMap,24.7921535,81.3024033
"KNGH, DAVV",hostel,OpenStreetMap,22.6947643,75.8743616
Arjun Fitness Club,swimming_pool,OpenStreetMap,23.2169646,77.431211
Baz Bahadur Palace,monument,OpenStreetMap,22.3136037,75.4081054
Jajaj mahar,monument,OpenStreetMap,22.3552583,75.3932001
Rani Roopmati Mahal,monument,OpenStreetMap,22.3104946,75.4103326
Sagar Talab,attraction,OpenStreetMap,22.3262292,75.3994247
Mahatma Gandhi statue,memorial,OpenStreetMap,24.8462246,79.9300403
Hanuman Statue,attraction,OpenStreetMap,24.852241,79.9227156
Hostel Ground,pitch,OpenStreetMap,22.7271893,75.8725594
Shri Krishna Jungle Resort,hotel,OpenStreetMap,24.8418521,79.9286258
Bankim Guest House,hotel,OpenStreetMap,23.1623991,81.9398195
VVIP Guest House,guest_house,OpenStreetMap,23.1498807,81.9742961
Tansen Residency,hotel,OpenStreetMap,26.2139298,78.1871305
Central Park,hotel,OpenStreetMap,26.2113598,78.187734
Sun Beam,hotel,OpenStreetMap,26.2098065,78.1873236
Statue of Mahatma Gandhi,artwork,OpenStreetMap,26.2109459,78.1698625
Phoolbagh,park,OpenStreetMap,26.2112178,78.1697042
Champa Bawdi,monument,OpenStreetMap,22.3567985,75.391971
Dilwar Khan's Mosque,monument,OpenStreetMap,22.3578326,75.3923399
ASI Counter,information,OpenStreetMap,22.3542035,75.3936354
Hindola Mahal,monument,OpenStreetMap,22.356823,75.39293
Jain Dharamshala,hostel,OpenStreetMap,22.3464463,75.3984097
Chappan Mahal,monument,OpenStreetMap,22.3426432,75.3979028
Darya Khan's Tomb,monument,OpenStreetMap,22.33787,75.4023177
Malwa Resort,hotel,OpenStreetMap,22.3322555,75.3996677
Dai Ka Mahal,monument,OpenStreetMap,22.3276035,75.4025323
Ghadi Gate,monument,OpenStreetMap,22.3601867,75.3983588
Bhangi Gate,ruins,OpenStreetMap,22.3617792,75.3938339
Alamgiri Gate,ruins,OpenStreetMap,22.362878,75.3930802
Kakda Kho,viewpoint,OpenStreetMap,22.3826735,75.3898805
Mandu Retreat,hotel,OpenStreetMap,22.3558,75.3969199
Hotel Palash Residency,hotel,OpenStreetMap,23.2382984,77.3960366
rani park,park,OpenStreetMap,22.5991796,80.3712123
Hotel Abhashree,hotel,OpenStreetMap,21.9019547,77.907556
Flower Valley Guest House,hotel,OpenStreetMap,24.8510414,79.9263544
Hotel Surya,hotel,OpenStreetMap,24.8509635,79.9257938
Hotel Jain,hotel,OpenStreetMap,24.8510047,79.9256062
Hotel Harmony,hotel,OpenStreetMap,24.8508953,79.9260406
Hotel Gem Palace,hotel,OpenStreetMap,24.8509246,79.925936
Hotel Zen,hotel,OpenStreetMap,24.8507931,79.9264107
